Name,Team,Goals,Assists,Points
Shea Theodore,VGK,12,27,39
Brayden McNabb,VGK,4,9,13
Nick Hague,VGK,1,6,7
Zach Whitecloud,VGK,0,12,12
Brad Marchand,BOS,19,36,55
David Pastrnak,BOS,35,48,83
Elias Lindholm,BOS,23,35,58
Charlie Coyle,BOS,19,22,41
Pavel Zacha,BOS,17,31,48
Trent Frederic,BOS,23,28,51
Morgan Geekie,BOS,10,13,23
John Beecher,BOS,14,7,21
Mark Kastelic,BOS,6,7,13
Patrick Brown,BOS,6,7,13
Justin Brazeau,BOS,11,7,18
Max Jones,BOS,4,13,17
Charlie McAvoy,BOS,10,25,35
Hampus Lindholm,BOS,5,22,27
Brandon Carlo,BOS,3,21,24
Nikita Zadorov,BOS,3,10,13
Andrew Peeke,BOS,0,7,7
Mason Lohrei,BOS,1,10,11
Parker Wotherspoon,BOS,0,2,2
Tage Thompson,BUF,36,28,64
Alex Tuch,BUF,26,54,80
JJ Peterka,BUF,28,31,59
Dylan Cozens,BUF,20,25,45
Jack Quinn,BUF,12,42,54
Jason Zucker,BUF,23,22,45
Jordan Greenway,BUF,10,10,20
Zach Benson,BUF,15,23,38
Ryan McLeod,BUF,18,22,40
Sam Lafferty,BUF,14,6,20
Nicolas Aube-Kubel,BUF,8,8,16
Beck Malenstyn,BUF,5,12,17
Peyton Krebs,BUF,0,0,0
Rasmus Dahlin,BUF,17,40,57
Owen Power,BUF,2,23,25
Bowen Byram,BUF,5,23,28
Henri Jokijarju,BUF,1,13,14
Connor Clifton,BUF,1,15,16
Mattias Samuelsson,BUF,0,7,7
Jacob Bryson,BUF,1,2,3
Dylan Larkin,DET,28,37,65
Lucas Raymond,DET,26,30,56
Alex DeBrincat,DET,23,38,61
Patrick Kane,DET,19,32,51
JT Compher,DET,19,28,47
Vladimir Tarasenko,DET,19,25,44
Andrew Copp,DET,11,21,32
Michael Rasmussen,DET,13,21,34
Jonatan Berggren,DET,18,18,36
Joe Veleno,DET,15,6,21
Christian Fischer,DET,8,13,21
Tyler Motte,DET,5,15,20
Austin Watson,DET,10,7,17
Moritz Seider,DET,13,22,35
Ben Chiarot,DET,2,22,24
Jeff Petry,DET,5,19,24
Simon Edvinsson,DET,2,6,8
Erik Gustafsson,DET,1,10,11
Olli Maatta,DET,0,9,9
Justin Holl,DET,0,3,3
Matthew Tkachuk,FLA,24,43,67
Aleksander Barkov,FLA,35,41,76
Sam Reinhart,FLA,38,34,72
Sam Bennett,FLA,21,32,53
Carter Verhaeghe,FLA,20,14,34
Evan Rodrigues,FLA,12,35,47
Eetu Luostarainen,FLA,13,15,28
Jonah Gadjovich,FLA,10,13,23
Anton Lundell,FLA,12,13,25
Jesper Boqvist,FLA,8,22,30
AJ Greer,FLA,6,9,15
Tomas Nosek,FLA,2,12,14
