Simulation 1 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
5,OTT,47,28,7,101,284,258,13.02%,0.909
6,TB,47,28,7,101,254,235,11.11%,0.909
7,NJ,48,31,3,99,300,269,11.49%,0.894
8,BOS,46,29,7,99,266,212,12.07%,0.911
9,LA,46,29,7,99,261,225,11.52%,0.900
10,VAN,46,30,6,98,273,222,12.13%,0.906
11,WSH,46,30,6,98,293,265,11.73%,0.901
12,NSH,45,30,7,97,279,274,12.01%,0.903
13,TOR,45,31,6,96,269,246,12.10%,0.902
14,DET,43,32,7,93,278,259,13.24%,0.902
15,MIN,43,32,7,93,243,238,11.38%,0.899
16,VGK,42,31,9,93,291,281,12.63%,0.888
17,NYR,41,33,8,90,257,231,12.01%,0.913
18,DAL,39,32,11,89,262,270,10.91%,0.900
19,CHI,38,32,12,88,267,283,12.51%,0.903
20,SEA,41,36,5,87,265,284,11.81%,0.885
21,COL,40,36,6,86,282,280,11.90%,0.892
22,WPG,39,37,6,84,231,227,10.46%,0.910
23,UT,39,40,3,81,249,249,11.04%,0.898
24,CGY,39,40,3,81,256,266,11.23%,0.887
25,NYI,34,39,9,77,247,281,11.15%,0.893
26,STL,37,43,2,76,230,255,11.04%,0.907
27,PIT,36,43,3,75,246,276,10.92%,0.895
28,MTL,32,46,4,68,227,297,10.89%,0.888
29,PHI,28,42,12,68,224,288,10.51%,0.894
30,CBJ,30,46,6,66,238,306,10.86%,0.887
31,ANA,30,48,4,64,225,290,10.83%,0.894
32,SJ,27,49,6,60,226,320,12.02%,0.882

Simulation 13 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,FLA,49,21,12,110,281,214,12.03%,0.915
2,VAN,49,22,11,109,253,218,10.67%,0.913
3,NJ,48,27,7,103,301,259,11.64%,0.902
4,NSH,47,26,9,103,261,224,11.69%,0.912
5,WPG,49,29,4,102,262,229,12.20%,0.915
6,BOS,47,27,8,102,256,229,12.12%,0.910
7,PIT,48,29,5,101,323,290,13.85%,0.900
8,CAR,46,27,9,101,291,245,11.98%,0.894
9,COL,47,29,6,100,306,261,12.26%,0.901
10,DAL,47,30,5,99,279,223,11.36%,0.913
11,EDM,46,29,7,99,322,288,12.26%,0.890
12,MIN,48,32,2,98,230,228,10.75%,0.900
13,CBJ,46,31,5,97,282,287,12.89%,0.899
14,NYR,45,30,7,97,262,249,12.27%,0.906
15,NYI,45,33,4,94,251,244,10.99%,0.898
16,WSH,43,35,4,90,264,258,10.62%,0.898
17,LA,38,32,12,88,260,261,12.21%,0.889
18,UT,39,34,9,87,258,267,12.08%,0.899
19,PHI,39,35,8,86,287,308,13.27%,0.891
20,SEA,39,35,8,86,246,268,11.58%,0.895
21,BUF,40,37,5,85,266,260,11.83%,0.902
22,DET,39,36,7,85,251,244,11.92%,0.904
23,OTT,39,37,6,84,233,261,10.76%,0.894
24,TOR,38,38,6,82,251,262,11.04%,0.890
25,STL,37,38,7,81,266,293,12.15%,0.896
26,CGY,35,36,11,81,274,302,12.70%,0.885
27,TB,36,39,7,79,252,265,11.20%,0.890
28,VGK,33,44,5,71,244,289,10.57%,0.884
29,MTL,27,40,15,69,270,323,13.11%,0.892
30,CHI,28,47,7,63,229,304,10.45%,0.883
31,ANA,28,49,5,61,199,281,9.71%,0.892
32,SJ,27,48,7,61,217,293,11.45%,0.898

Simulation 14 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,TB,52,26,4,108,282,239,12.35%,0.906
2,CAR,51,25,6,108,264,202,10.96%,0.915
3,TOR,48,25,9,105,266,233,11.79%,0.902
4,WPG,46,27,9,101,261,224,12.15%,0.914
5,COL,47,29,6,100,276,238,11.13%,0.904
6,LA,46,28,8,100,268,241,11.82%,0.897
7,DET,48,31,3,99,258,225,12.04%,0.908
8,BOS,45,28,9,99,240,210,11.21%,0.916
9,OTT,47,31,4,98,253,241,11.76%,0.905
10,EDM,46,30,6,98,300,279,11.36%,0.899
11,BUF,44,29,9,97,269,245,11.69%,0.907
12,NYI,45,31,6,96,231,216,10.41%,0.917
13,NYR,41,30,11,93,252,232,12.06%,0.911
14,VAN,40,29,13,93,247,217,10.68%,0.908
15,FLA,43,33,6,92,255,232,11.01%,0.899
16,PIT,43,34,5,91,275,269,12.16%,0.904
17,SEA,40,31,11,91,266,271,12.07%,0.899
18,VGK,42,35,5,89,244,242,10.68%,0.904
19,NSH,40,34,8,88,285,284,12.62%,0.893
20,NJ,41,36,5,87,287,279,10.95%,0.891
21,MTL,40,36,6,86,263,288,12.16%,0.892
22,STL,39,39,4,82,254,299,11.69%,0.897
23,WSH,38,39,5,81,271,284,11.31%,0.890
24,UT,34,37,11,79,262,278,11.75%,0.897
25,PHI,36,41,5,77,279,303,12.51%,0.879
26,DAL,34,39,9,77,249,286,10.31%,0.889
27,ANA,38,44,0,76,226,275,10.98%,0.896
28,MIN,33,41,8,74,247,286,11.87%,0.877
29,CHI,33,44,5,71,220,245,10.76%,0.906
30,CGY,34,46,2,70,231,260,10.88%,0.884
31,SJ,29,44,9,67,241,318,12.82%,0.894
32,CBJ,29,45,8,66,244,325,11.08%,0.888

Simulation 15 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,COL,52,24,6,110,332,270,13.70%,0.892
2,BUF,52,24,6,110,299,262,13.23%,0.906
3,FLA,50,22,10,110,277,234,12.46%,0.903
