date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
1/5/2025,pit,car,,,,,,,,
1/5/2025,phi,tor,,,,,,,,
1/5/2025,tb,ana,,,,,,,,
1/6/2025,wsh,buf,,,,,,,,
1/6/2025,van,mtl,,,,,,,,
1/6/2025,fla,col,,,,,,,,
1/6/2025,nj,sea,,,,,,,,
1/7/2025,edm,bos,,,,,,,,
1/7/2025,ott,det,,,,,,,,
1/7/2025,dal,nyr,,,,,,,,
1/7/2025,tor,phi,,,,,,,,
1/7/2025,cbj,pit,,,,,,,,
1/7/2025,stl,min,,,,,,,,
1/7/2025,nsh,wpg,,,,,,,,
1/7/2025,cgy,ana,,,,,,,,
